feed_rate,grinder_type,duty_cycle,unit_cost,score
112.2135,1.0,1.0,142.21582,-3.438433e-05
461.23184,0.0,1.0,68.047874,0.012798583
193.57458,1.0,1.0,142.29987,-3.4082925e-05
495.4097,2.0,0.39741036,57.52502,0.017020592
338.3136,2.0,0.84636885,140.42825,-2.1286154e-05
56.284206,2.0,0.9562862,143.74039,-2.0801373e-05
352.1045,1.0,1.0,139.99342,-7.0107126e-05
187.4486,1.0,1.0,140.9103,-3.4702898e-05
106.22844,2.0,0.4462593,60.592854,0.01609348
249.32866,1.0,1.0,140.42702,-3.482233e-05
267.27118,2.0,0.45723203,59.429947,0.016408393
353.3162,0.0,1.0,135.98962,0.00040205262
79.43421,0.0,1.0,144.23135,-3.4250494e-05
228.346,1.0,1.0,142.02846,-3.4148055e-05
223.24074,2.0,0.5116894,58.15424,0.013601931
404.3069,0.0,1.0,102.52577,0.0044534663
248.6944,2.0,0.15361457,57.86658,0.016920129
65.56164,2.0,0.2816983,61.708904,0.015802419
355.17426,1.0,1.0,141.48099,-6.895e-05
278.51035,0.0,1.0,141.55132,-6.80537e-05
391.5171,0.0,1.0,113.868034,0.0028122475
153.45677,1.0,1.0,141.34161,-3.4597e-05
270.69434,1.0,1.0,140.31148,-3.4851004e-05
464.35162,2.0,0.28871596,57.518837,0.017022423
487.97507,2.0,0.9083311,140.27676,-2.1314732e-05
200.53214,2.0,0.6141293,140.7059,-4.828077e-05
241.60445,1.0,1.0,140.47383,-3.4810724e-05
362.0172,2.0,0.30618364,57.66808,0.016978368
195.8654,2.0,0.16082314,59.544872,0.016376724
457.5758,0.0,1.0,69.13009,0.012410499
294.10672,2.0,0.33912653,57.80428,0.016938364
210.24698,2.0,0.31750163,58.10355,0.016851122
227.78358,1.0,1.0,142.03218,-3.414716e-05
189.69513,0.0,1.0,140.62364,-3.5413643e-05
132.93747,2.0,0.65793455,142.70964,-5.148521e-05
197.79175,0.0,1.0,140.55568,-3.5430767e-05
324.30463,2.0,0.3860837,59.26747,0.016453374
385.62656,1.0,1.0,141.34659,-6.4140826e-05
231.26553,1.0,1.0,142.00938,-3.415264e-05
466.36945,2.0,0.32845983,57.532673,0.01701833
283.68564,0.0,1.0,141.51685,-6.678082e-05
212.85036,1.0,1.0,142.13844,-3.412163e-05
81.88155,1.0,1.0,144.731,-3.3510412e-05
153.02792,2.0,0.7121548,142.58797,-5.5085035e-05
329.80267,0.0,1.0,138.5783,4.49473e-05
283.38733,0.0,1.0,141.51901,-6.687023e-05
497.10114,0.0,1.0,60.43229,0.015681524
238.95255,2.0,0.58662164,59.54771,0.01321713
246.39569,2.0,0.1562094,57.880913,0.01691594
480.4637,0.0,1.0,63.97199,0.014376858
94.259895,2.0,0.7937865,142.10716,-2.1032665e-05
327.32587,1.0,1.0,141.57077,-6.95076e-05
79.65785,2.0,0.2669227,61.04901,0.015973233
498.166,1.0,1.0,125.48735,0.0012785272
410.75235,2.0,0.42219785,57.634766,0.016988182
