feed_rate,grinder_type,duty_cycle,unit_cost,protein_damage,score
64.93914,2.0,0.06225217,72.41936,0.0,0.013808463
469.72498,1.0,1.0,79.17169,0.12,0.0126307765
475.95642,0.0,1.0,58.87041,0.0,0.016986461
180.0382,0.0,1.0,59.900444,0.0,0.016694367
154.47705,2.0,0.45571956,72.14632,0.0,0.013860721
385.40317,0.0,1.0,59.01765,0.0,0.016944084
236.86618,2.0,0.33001128,71.69734,0.0,0.013947518
167.92645,1.0,1.0,80.703156,0.12,0.0123910885
476.1209,1.0,1.0,79.16024,0.12,0.012632605
445.46494,1.0,1.0,79.2181,0.12,0.012623378
412.1913,1.0,1.0,77.23291,0.12,0.012947848
398.46082,2.0,0.4508803,75.06322,0.0,0.013322104
196.55417,1.0,1.0,80.35599,0.12,0.012444624
479.31482,1.0,1.0,79.15464,0.12,0.012633499
209.25526,0.0,1.0,57.961025,0.0,0.017252972
353.11356,1.0,1.0,77.404106,0.12,0.012919211
355.47153,2.0,0.27290428,65.45386,0.0,0.015277939
449.108,1.0,1.0,77.148796,0.12,0.012961965
363.10214,0.0,1.0,57.31872,0.0,0.017446307
148.9885,1.0,1.0,81.00614,0.12,0.012344743
483.1204,0.0,1.0,58.86112,0.0,0.016989144
190.96536,2.0,0.20332058,68.538376,0.0,0.014590367
107.8463,1.0,1.0,82.03104,0.12,0.012190509
399.25223,1.0,1.0,79.322105,0.12,0.012606826
417.02298,0.0,1.0,57.20576,0.0,0.017480757
141.4213,2.0,0.14970341,71.831436,0.0,0.013921482
287.6548,2.0,0.24369688,67.83739,0.0,0.014741134
154.64526,0.0,1.0,58.49634,0.0,0.017095085
88.952484,0.0,1.0,60.011227,0.0,0.01666355
414.13144,1.0,1.0,77.22811,0.12,0.012948652
382.41837,2.0,0.31536946,67.58694,0.0,0.014795759
145.54909,2.0,0.14244188,73.216385,0.0,0.013658145
231.20328,1.0,1.0,78.03393,0.12,0.012814938
293.17468,1.0,1.0,77.648315,0.12,0.012878579
102.721344,1.0,1.0,80.31569,0.12,0.012450867
375.5725,0.0,1.0,59.03791,0.0,0.01693827
349.64844,1.0,1.0,77.41595,0.12,0.0129172355
318.42026,1.0,1.0,77.53424,0.12,0.012897528
115.91217,0.0,1.0,59.181793,0.0,0.016897088
272.49902,2.0,0.14277805,79.72971,0.0,0.012542375
118.960724,0.0,1.0,59.11166,0.0,0.016917136
